row_idx,pair_id,text1,text2,doer_label,confidence,evaluator_verdict,human_label,human_notes
210,5a339e780ca6b01a612484568d334307,Factbox: ECB policymakers' recent comments,Factbox: ECB policymakers' recent rate comments,True,5,incorrect,,
526,7ae2058acda0a44f325f88cfa22b413d,ECB will act to hit inflation target - Bini Smaghi,ECB ready to act if inflation stays high - B.Smaghi,False,5,incorrect,,
651,ed848a50bd1de3887ff3c9b3ed441b7c,Overnight borrowing from ECB highest since January,Overnight borrowing from ECB rises to near 4-wk high,True,4,incorrect,,
676,3e95a5147f94bc945af42366c6ac59cc,Euro zone recovery taking lasting hold: EU study,Eurozone’s Recovery Broadens,False,5,incorrect,,
730,fad9a9c5748fffbccdf48e43337394d9,ECB’s Draghi Expected to Talk Up Stimulus,ECB’s Draghi Faces Risks in Talking Up Stimulus Prospects,True,4,incorrect,,
739,6b8484ca60cb00598c3a2c6a3c9db4a5,Euro-Zone Producer Prices Rise,Eurozone Producer Prices Rise at Fastest Pace in Almost Four Years,True,5,incorrect,,
792,5c35f9a67f84c2b183039cf491adbd2c,Mixed fortunes for euro zone growth,Conflicting fortunes for the euro zone,True,5,incorrect,,
831,e5fde54d50b422ab7a3b96abf1bf19a7,Eurozone Jobless Rate Hits Three-Year Low,Eurozone Jobless Rate Falls,True,5,incorrect,,
834,a9403202bff3927dfc9def20bc23eb6d,"ECB seen cutting rates, even if it won't boost economy -Reuters poll","ECB cuts rates, economists hope for more",True,5,incorrect,,
841,2db4188cce0b4b8bd2661ed173c4829b,Eurozone Industrial Output Fell in February,Eurozone Industrial Output Falls Sharply,True,5,incorrect,,
872,b76f0d4cae8b954cda82299846aafbdd,Euro-Zone Business Lending Rises,Euro-Zone Corporate  Lending Rebounds,False,3,incorrect,,
873,27708d77601eb8d5ca509bb55c1bbceb,"No Alternative to Stimulus, Says ECB’s Chief Economist",ECB Chief Economist: It’s Too Early to Cut Stimulus,False,3,incorrect,,
1006,998fa20c640ae502afaf0eed7e4686e4,Eurozone Consumer Confidence Falls,Eurozone Consumer Confidence Held Up in June,True,5,incorrect,,
1019,44f567eaca2cff79029f8c5cc6c42a18,ECB on Low-Inflation Alert,ECB Determined to Contain Low Inflation Risk,False,5,incorrect,,
1069,300d4cc1e6b49aa1b12a55565f457710,Euro-Zone Consumer Confidence Grows,Euro-Zone Confidence Maintains Rise,True,5,incorrect,,
1073,d86b198fec2c17f42bf0bcd37071b286,Instant view: Euro zone to enhance flexibility of bailout fund,Euro zone aims to deploy boosted bailout fund in Dec:document,False,5,incorrect,,
1277,728d38fde5398e4802bcfee9692bb831,TEXT-Fitch:Most & least exposed corporates in eurozone crisis scenarios,TEXT-Fitch: Updated Eurozone corporate Q&A; summary,True,5,incorrect,,
1443,40bf8a1a44cce13e233e3bccb6497540,Europe's Recovery Weakens,"Europe Heads Toward Recovery, but Slowly",False,3,incorrect,,
1445,7e9487ce404d3ad261555c0329914b70,Serious tightening of lending expected by banks-ECB,Lending Stays Tight as ECB Readies Loans,False,3,incorrect,,
1446,7ba476f93bffbbe00850533776330e4e,"Euro zone prices fall more than expected in Dec, likely to trigger ECB action","Eurozone Prices Fall, Piling Pressure on ECB",False,3,incorrect,,
1529,9e44828947eb149f66d79107686ca085,Bank Lending From ECB Skyrockets,ECB digs deep to help banks keep lending,False,3,incorrect,,
1534,492320553deb62edb2ea29cdfa851ff2,EU Commission predicts inflation in euro zone to stay low,EU Lowers Euro-Zone Inflation Forecast,False,5,incorrect,,
1722,b9a5cf0131084a3b9bdc79dfca4b13bc,Euro zone inflation could stay low to 2016: Nowotny,Eurozone Inflation Remains Stubbornly Low,False,5,incorrect,,
1772,0c1011a8efa61bd3c3945b6929538a69,Deeper union for Europe's banks,Breakingviews: EU banking union a positive step,False,5,incorrect,,
1818,8bb5b4f5919690500e328f06a39f5d43,Euro-Zone Inflation Eases,Euro-Zone Inflation Stays Low,False,5,incorrect,,
2069,a94bf0486d39ee162cac7e614f8c62c3,EXECUTIVE VIEW-Impact of euro zone debt crisis,Euro-Zone Debt Back on the Agenda,False,3,incorrect,,
2073,a7f65252161d955d90c9df160b579f9f,State of Europe's Banks: Safe and Stressed,So how stressed are Europe's banks?,False,3,incorrect,,
2075,3230f3a2954ad1d9aa22a1078a98ca8a,ECB's Mersch - interest rates are 'absolutely appropriate',ECB’s Mersch: Limit on How Low Interest Rates Can Go,False,3,incorrect,,
2076,99ba8d5dc0ddfe5f7471fda5281fb497,"ECB's Nowotny sees risk of low inflation, low growth","ECB's Nowotny worried by economy, relaxed on inflation",False,3,incorrect,,
2078,56d21a99927b2ca4daeb9cc1ca7ab717,Draghi Urges Governments to Help ECB Hit Inflation Target,ECB’s Draghi: Generous Monetary Policy Still Needed to Boost Inflation,False,3,incorrect,,
2085,1f7f5a1a20515a1a4a302f671f628c29,ECB's Draghi says inflation could be volatile,ECB ready to act if inflation stays low for too long: Draghi,False,3,incorrect,,
2090,261f2625c8c62bd2696dcf386247af66,"Sharp euro zone inflation fall, joblessness point to ECB rate cut",Eurozone Inflation Data Highlights ECB’s Struggle,False,3,incorrect,,
2092,4dde73358d3c2dc97abc77dad8ab03fc,ECB sees inflation well below target for two years,ECB Determined to Contain Low Inflation Risk,False,3,incorrect,,
2095,681454d67081171919290bd515c3c496,ECB's Nowotny sees no deflation in euro zone,"Low euro zone inflation a worry, but no clear deflation risk: ECB",False,3,incorrect,,
2096,63f24dbe1a33fc2b24a93e58f227b136,Euro-Zone Factory Output Growth Diverges Further,Euro-Zone Manufacturing Growth Slows,False,3,incorrect,,
2107,9f28eaa88ffff8071dd0f6cfed2e203e,Factbox: Twenty-five banks fail Europe's 'stress test',Europe's stress tests fail to ease investors' bank sector worries,False,3,incorrect,,
2108,17f895605ee6b9804a33a460d32f10e1,Draghi: ECB Stimulus for ‘as Long as Needed’,ECB’s Draghi Expected to Talk Up Stimulus,False,3,incorrect,,
2308,5a8b924e42f38ce4f61bde40631bc81f,"ECB's Noyer says euro's strength is ""curious""",Strong euro is a powerful deflationary factor: ECB's Noyer,False,5,incorrect,,
2481,3bc886d1e6eb6a4f193d19c29a705d20,ECB: Ready to Act on Inflation,UPDATE 1-ECB ready to act if inflation stays low for too long - Draghi,True,5,incorrect,,
2845,3d5b2fc1d0663959d05f13b19a6f9e49,Banks Seek Safety at ECB,ECB digs deep to help banks keep lending,False,3,incorrect,,
2866,7b5fa8647af58e8b070c49cc61f2d566,Draghi Defends ECB’s Easy-Money Policies,ECB’s Easy-Money Policies Weigh on Profit,False,5,incorrect,,
2884,e7166e3be097e382eaed3bfa7b2f5314,"MONEY MARKETS-Banks increase ECB borrowing, Eonia seen easing",MONEY MARKETS-More ECB liquidity provision not enough for banks,False,5,incorrect,,
2892,11224a166a7d43b60cac0796a31d3fb4,"UPDATE 3-ECB sees prolonged lack of inflation, ready to act",ECB’s Knot: Inflation Won’t Return to 2% Anytime Soon,False,5,incorrect,,
2905,8b39bd0de6b1991d0186e51e407d4b55,Eurozone Confidence Weakens,Eurozone Confidence Wanes as U.K. Sentiment Rebounds,False,5,incorrect,,
2911,550ec526183066a10886cbcbd0e6d776,Economic gloom seen pushing ECB to cut rates,"ECB says cut rates because of expected ""prolonged"" low inflation",False,5,incorrect,,
2912,88de0c60055cc5a96ed54bc6a012eb58,Europe's Banks Ready for the Worst,Analysis: Funding freeze fears return to haunt Europe's banks,False,5,incorrect,,
2926,83fdbf2de404829b00107f5327b6fb43,ECB Pauses on Stimulus,ECB Signals No Need to Boost Stimulus,False,5,incorrect,,
2931,ba42324199bf3affc2ea00e76fb8b3b4,Breakingviews: Europe's banks suffer collective headache,So how stressed are Europe's banks?,False,3,incorrect,,
2937,4723800e782193490d84a06ae98b89df,ECB ready to act if inflation stays low for too long: Draghi,ECB sees inflation back by year-end,False,5,incorrect,,
2939,935697a23c172639b9f1b5a43029e669,ECB to keep loose policy 'for long time': Draghi,Draghi: ECB Ready to Act if Needed,False,5,incorrect,,
2981,e78d9e2206f7e67dc4c2d9a0d64844ee,WRAPUP-Euro zone business recovery ends year on a high,"GLOBAL ECONOMY-World business expansion uneven, euro zone ends year on a high",False,3,incorrect,,
2984,db5d703b0120fa9fe0930f120d8b0e00,Euro zone set to discuss rescue fund capacity-source,Euro zone to back higher combined bailout fund capacity -draft,False,5,incorrect,,
3039,8b83772e1a0ef54725fb8a59a39efef7,Eurozone Construction Rebounds,Eurozone Construction Rose in 1Q,True,5,incorrect,,
