id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict
nifty_37,HIGHLIGHTS-EU finance ministers' meeting,nifty_498,HIGHLIGHTS-EU finance ministers' meeting,1.0000008,1.0,847,b513bef12132da4fb69e936085266645,True,5,False,
nifty_93,Euro-Zone Factory Orders Rise,nifty_126,Euro-Zone Factory Orders Rise,1.0000006,1.0,61,92fa8b73349fd1666d0f35adfb29a1cf,True,5,False,
nifty_62,Euro-Zone Business Confidence Improves,nifty_146,Euro-Zone Business Confidence Improves,1.0000004,1.0,153,f58c7f517e6d66e3871861143c6551bb,True,5,False,
nifty_214,Euro-Zone Producer Prices Surge,nifty_229,Euro-Zone Producer Prices Surge,1.0000004,1.0,28,ee0e0717d49ea099a0cbae65f48b8491,True,5,False,
nifty_322,Euro-Zone Inflation Eases,nifty_427,Euro-Zone Inflation Eases,1.0000004,1.0,196,5c28cd5e95df77add9a8f085f90737fc,True,5,False,
nifty_5,Business Update: ECB holds rates,nifty_31,Business Update: ECB holds rates,1.0000002,1.0,49,7775b0562da60c56003236731efc8022,True,5,False,
nifty_53,Euro-Zone Industrial Output Rises,nifty_337,Euro-Zone Industrial Output Rises,1.0000002,1.0,518,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_53,Euro-Zone Industrial Output Rises,nifty_354,Euro-Zone Industrial Output Rises,1.0000002,1.0,547,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_53,Euro-Zone Industrial Output Rises,nifty_874,Euro-Zone Industrial Output Rises,1.0000002,1.0,1520,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_147,TIMELINE-Euro zone struggles with debt,nifty_150,TIMELINE-Euro zone struggles with debt,1.0000002,1.0,6,da33dc90884332eecafeb439f3d514f8,True,5,False,
nifty_337,Euro-Zone Industrial Output Rises,nifty_354,Euro-Zone Industrial Output Rises,1.0000002,1.0,29,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_337,Euro-Zone Industrial Output Rises,nifty_874,Euro-Zone Industrial Output Rises,1.0000002,1.0,1002,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_354,Euro-Zone Industrial Output Rises,nifty_874,Euro-Zone Industrial Output Rises,1.0000002,1.0,973,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_1115,Eurozone Jobless Rate Falls,nifty_1350,Eurozone Jobless Rate Falls,1.0000002,1.0,429,6fcfe108ba6b3a10ccca75c51d868bc7,True,5,False,
nifty_1211,Eurozone Slides Back Into Deflation,nifty_1256,Eurozone Slides Back Into Deflation,1.0000002,1.0,79,f8e2d225fe517d399fd0dfdbd8cbcebd,True,5,False,
nifty_53,Euro-Zone Industrial Output Rises,nifty_534,Euro-Zone Industrial Output Rises,1.0000001,1.0,882,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_99,FACTBOX-Coming events in euro zone debt crisis,nifty_234,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,246,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_99,FACTBOX-Coming events in euro zone debt crisis,nifty_265,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,302,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_103,EXECUTIVE VIEW-Impact of euro zone debt crisis,nifty_110,EXECUTIVE VIEW-Impact of euro zone debt crisis,1.0000001,1.0,13,4d02c2fa382822386dd86264bc747f1b,True,5,False,
nifty_103,FACTBOX-Coming events in euro zone debt crisis,nifty_234,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,239,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_103,FACTBOX-Coming events in euro zone debt crisis,nifty_265,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,295,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_103,Euro-Zone Inflation Slows,nifty_288,Euro-Zone Inflation Slows,1.0000001,1.0,337,2906a8b06e95a53abc42f4ca6ade0507,True,5,False,
nifty_103,Euro-Zone Inflation Slows,nifty_868,Euro-Zone Inflation Slows,1.0000001,1.0,1420,2906a8b06e95a53abc42f4ca6ade0507,True,5,False,
nifty_112,"FACTBOX-U.S., European bank writedowns, credit losses",nifty_128,"FACTBOX-U.S., European bank writedowns, credit losses",1.0000001,1.0,28,e51e39794a9ff7e844e0d8dd813ef8fe,True,5,False,
nifty_112,"FACTBOX-U.S., European bank writedowns, credit losses",nifty_147,"FACTBOX-U.S., European bank writedowns, credit losses",1.0000001,1.0,63,e51e39794a9ff7e844e0d8dd813ef8fe,True,5,False,
nifty_165,Overnight deposits at ECB fall,nifty_214,Overnight deposits at ECB fall,1.0000001,1.0,92,5d8b7ef1284ffa2965e8afe4a184ba74,True,5,False,
nifty_234,FACTBOX-Coming events in euro zone debt crisis,nifty_265,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,56,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_234,FACTBOX-Coming events in euro zone debt crisis,nifty_273,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,70,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_245,Euro-Zone Confidence Falls,nifty_528,Euro-Zone Confidence Falls,1.0000001,1.0,519,6cc53f91134b4bf6bce78fbf41569743,True,5,False,
nifty_265,FACTBOX-Coming events in euro zone debt crisis,nifty_273,FACTBOX-Coming events in euro zone debt crisis,1.0000001,1.0,14,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_288,Euro-Zone Inflation Slows,nifty_868,Euro-Zone Inflation Slows,1.0000001,1.0,1083,2906a8b06e95a53abc42f4ca6ade0507,True,5,False,
nifty_337,Euro-Zone Industrial Output Rises,nifty_534,Euro-Zone Industrial Output Rises,1.0000001,1.0,364,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_534,Euro-Zone Industrial Output Rises,nifty_874,Euro-Zone Industrial Output Rises,1.0000001,1.0,638,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_691,Europe tempers power of agency to shut troubled banks,nifty_692,Europe tempers power of agency to shut troubled banks,1.0000001,1.0,1,bd564e6b428bf4a2804c2a643e256920,True,5,False,
nifty_41,Overnight deposits at ECB fall,nifty_165,Overnight deposits at ECB fall,1.0,1.0,224,5d8b7ef1284ffa2965e8afe4a184ba74,True,5,False,
nifty_41,Overnight deposits at ECB fall,nifty_214,Overnight deposits at ECB fall,1.0,1.0,316,5d8b7ef1284ffa2965e8afe4a184ba74,True,5,False,
nifty_88,Euro-Zone Inflation Rises,nifty_147,Euro-Zone Inflation Rises,1.0,1.0,106,2f8dd6c048137bc1a83e85b1df071f4b,True,5,False,
nifty_99,FACTBOX-Coming events in euro zone debt crisis,nifty_103,FACTBOX-Coming events in euro zone debt crisis,1.0,1.0,7,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_99,FACTBOX-Coming events in euro zone debt crisis,nifty_273,FACTBOX-Coming events in euro zone debt crisis,1.0,1.0,316,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_103,FACTBOX-Coming events in euro zone debt crisis,nifty_273,FACTBOX-Coming events in euro zone debt crisis,1.0,1.0,309,c39826ce269172d702fed76435a5d8f4,True,5,False,
nifty_128,"FACTBOX-U.S., European bank writedowns, credit losses",nifty_147,"FACTBOX-U.S., European bank writedowns, credit losses",1.0,1.0,35,e51e39794a9ff7e844e0d8dd813ef8fe,True,5,False,
nifty_143,Euro-Zone Consumers More Upbeat,nifty_862,Euro-Zone Consumers More Upbeat,1.0,1.0,1336,3dc42893854e8f0e1cac8894fef5f731,True,5,False,
nifty_148,Euro-Zone Producer Prices Rise,nifty_902,Euro-Zone Producer Prices Rise,1.0,1.0,1400,4ebea80594e46c4e26bee668e3757894,True,5,False,
nifty_354,Euro-Zone Industrial Output Rises,nifty_534,Euro-Zone Industrial Output Rises,1.0,1.0,335,5c32e6abda14b75c594fd1d848b282a7,True,5,False,
nifty_141,FACTBOX-ECB policymakers' recent rate comments,nifty_195,FACTBOX-ECB policymakers' recent rate comments,0.99999994,1.0,99,cf0a7401b96765c4f356cfa589621734,True,5,False,
nifty_189,Overnight bank deposits at ECB fall,nifty_207,Overnight bank deposits at ECB fall,0.99999994,1.0,35,dc2a2fb2444f7f6c75d6100592a30630,True,5,False,
nifty_202,Overnight deposits at ECB dip,nifty_237,Overnight deposits at ECB dip,0.9999999,1.0,64,104d4cc61645635835c891bc2be869b4,True,5,False,
nifty_353,Factbox: ECB policymakers' recent comments,nifty_696,Factbox: ECB policymakers' recent comments,0.9999999,1.0,644,eb45ace14718b8bf2313998eb3ebbdef,True,5,False,
nifty_353,Factbox: ECB policymakers' recent comments,nifty_834,Factbox: ECB policymakers' recent comments,0.9999999,1.0,902,eb45ace14718b8bf2313998eb3ebbdef,True,5,False,
nifty_573,"Comments from euro zone finance ministers, officials",nifty_583,"Comments from euro zone finance ministers, officials",0.9999999,1.0,16,94ebb9d4184c3d5527ef845fdd551ff5,True,5,False,
nifty_696,Factbox: ECB policymakers' recent comments,nifty_834,Factbox: ECB policymakers' recent comments,0.9999999,1.0,258,eb45ace14718b8bf2313998eb3ebbdef,True,5,False,
nifty_965,Countdown to missed opportunity for EU economy,nifty_966,Countdown to missed opportunity for EU economy,0.9999999,1.0,1,f677ddf7ad76af4e7055ea6c3d34adab,True,5,False,
nifty_95,TIMELINE-Euro zone debt crisis,nifty_112,TIMELINE-Euro zone debt crisis,0.9999998,1.0,30,9f0ceba7549433ff2324c3a8203ce8a6,True,5,False,
nifty_953,Eurozone Manufacturing Picks Up,nifty_1031,Eurozone Manufacturing Picks Up,0.9999998,1.0,149,46bad174fbb8ef46f56939f49ab80ad3,True,5,False,
nifty_1020,Eurozone Industrial Output Falls,nifty_1156,Eurozone Industrial Output Falls,0.9999998,1.0,245,0ae85f9b84e1520b2dce393dd10dcb94,True,5,False,
nifty_261,Euro-Zone Data Pressure ECB,nifty_278,Euro-Zone Data Pressure ECB,0.99999976,1.0,33,34441a987c32f413b565ef2673ab6553,True,5,False,
nifty_1264,What to Watch at the ECB Meeting,nifty_1368,What to Watch at the ECB Meeting,0.99999976,1.0,189,8518954e9dd4473216fc37a6f445316f,True,5,False,
nifty_112,Euro-Zone Sentiment Improves,nifty_427,Euro-Zone Sentiment Improves,0.9999997,1.0,580,d6d80313215068413acc31844af0dc19,True,5,False,
nifty_717,Euro-Zone Business Activity Rises,nifty_733,Euro-Zone Business Activity Rises,0.9999997,1.0,32,b1c4a5dec5caa21a4789680334478d43,True,5,False,
nifty_181,Euro-Zone Growth Slows,nifty_307,Euro-Zone Growth Slows,0.99999964,1.0,231,0124fa4adde2c3825b66030c7a6fc12f,True,5,False,
nifty_553,EU mulls junior debt haircuts in case of recapitalising banks,nifty_553,EU mulls junior debt haircuts in case of recapitalizing banks,0.99860233,1.0,0,b6849b74184a51c452c9c364599d2357,True,5,False,not_reviewed
nifty_272,HIGHLIGHTS-German finmin Schaeuble on EU debt crisis,nifty_272,Highlights: German finmin Schaeuble on EU debt crisis,0.9980984,0.6666666666666666,0,b7874e13b28bff372a5268afd8382507,True,5,False,not_reviewed
nifty_300,HIGHLIGHTS-Euro zone finance ministers and officials,nifty_367,"HIGHLIGHTS-Euro zone finance ministers, officials",0.99700165,1.0,119,f766e0cd57f4ff69e06c8dc5cef9bf65,True,5,False,not_reviewed
nifty_739,ECB's Constancio says Europe's banks better than perceptions -FT,nifty_739,ECB's Constancio says Europe's banks better than perceptions: FT,0.9968153,0.75,0,6539028ff13a3ae778a6e4009cc46534,True,5,False,not_reviewed
nifty_300,Highlights: Euro zone finance ministers and officials,nifty_367,"Highlights: Euro zone finance ministers, officials",0.99668545,1.0,119,4ae86af16d8f2c52976600086d068b0b,True,5,False,not_reviewed
nifty_142,Bank overnight deposits at ECB fall,nifty_189,Overnight bank deposits at ECB fall,0.99650997,0.3333333333333333,85,6354e5459e096f57298b856fc46effe3,True,5,False,correct
nifty_142,Bank overnight deposits at ECB fall,nifty_207,Overnight bank deposits at ECB fall,0.99650973,0.3333333333333333,120,6354e5459e096f57298b856fc46effe3,True,5,False,correct
nifty_338,Analysis: Is the EFSF ready to take over ECB bond-buying?,nifty_338,Analysis - Is the EFSF ready to take over ECB bond-buying?,0.9963843,1.0,0,1177531f03c26d32e8c6798ca2d813a6,True,5,False,not_reviewed
nifty_473,Euro zone risks vicious circle of debt - OECD,nifty_473,Euro zone risks vicious circle of debt: OECD,0.99616253,1.0,0,38f929e224a13747ab6db0e939d9bd27,True,5,False,not_reviewed
nifty_873,Euro zone countries agree direct bank recapitalisation framework,nifty_873,Euro zone countries agree direct bank recapitalization framework,0.9961045,0.6,0,8be54d7c94b55a54c40db21d65003b8e,True,5,False,not_reviewed
nifty_913,KPMG says EU bank reforms should be shelved -Bloomberg,nifty_913,KPMG says EU bank reforms should be shelved: Bloomberg ,0.99603647,0.6,0,bad9bff81574fca435995498c68a18d0,True,5,False,not_reviewed
nifty_498,ECB stands ready to act in debt crisis- Noyer,nifty_498,ECB stands ready to act in debt crisis: Noyer,0.9958996,0.5,0,303dde0e5946079805d31709d22fa401,True,5,False,not_reviewed
nifty_544,ECB's Asmussen doubts EU banking watchdog ready by Jan 2013,nifty_544,ECB's Asmussen doubts EU banking watchdog ready by January 2013,0.9957176,0.7142857142857143,0,253f4844ca6624ba4fc6e4c57cc30408,True,5,False,not_reviewed
nifty_476,EU proposes cross-border bank rescues -draft,nifty_476,EU proposes cross-border bank rescues: draft,0.995468,1.0,0,f8e0628834cbc62c70e16949e309da07,True,5,False,not_reviewed
nifty_935,"ECB will seek whistleblowers, impose monitors on banks - Nouy",nifty_935,"ECB will seek whistleblowers, impose monitors on banks: Nouy",0.99524087,1.0,0,6245244e1c6cb562520a7229bab6eb5c,True,5,False,correct
nifty_1297,"Stress tests show German banks adequately capitalised, govt says",nifty_1297,"Stress tests show German banks adequately capitalized, government says",0.9942494,0.5,0,77b39fcb0b8b87b19b657ddc554dae0b,True,5,False,correct
nifty_338,Euro bonds not available in crisis - Merkel MP,nifty_338,Euro bonds not available in crisis: Merkel MP,0.99412704,1.0,0,9f5084911d3c5a5a4b5132363c53e302,True,5,False,not_reviewed
nifty_99,Banks continue to shun ECB's dollar offerings,nifty_103,Banks continue to shun ECB dollar offerings,0.9941039,0.5,7,b66581f2290d30835cd5986dffcb416b,True,5,False,not_reviewed
