row_idx,pair_id,text1,text2,doer_label,confidence,evaluator_verdict,human_label,human_notes
298,793991cffdd3df4871d944d2edc5ccc1,5 Takeaways From the Fed Meeting,5 Takeaways From the Fed’s June Meeting,True,5,incorrect,,
339,6f886d35bce059619cd6e3f49215e06d,Janet Yellen on Capitol Hill,Janet Yellen on Capitol Hill: Day Two,True,5,incorrect,,
422,cd2702d8327808c2ed32d71ac048a4b7,Transcript: Q&A With Dallas Fed’s Robert Kaplan in Houston,Transcript: Media Q&A With Dallas Fed’s Robert Kaplan in New York,True,5,incorrect,,
675,94416081d65e7138a362ee3dfd2b79d1,Fed Minutes Show Inflation Debate,Fed Minutes Reveal Officials’ Concern About Low Inflation,False,3,incorrect,,
690,97c40aaef9f94b2d61075e0740eab495,Williams: Fed Is Near the Point of Raising Rates,Fed’s Williams: Raising Rates 2 or 3 Times This Year ‘Makes Sense’,True,5,incorrect,,
705,7bbd8cfc8b0223022591de28259bbb30,Fed’s Bullard Points to Inflation as Key to Path of Rate Increases,Fed’s Bullard: ‘Unwise’ to Raise Rates With Inflation Expectations Falling,False,5,incorrect,,
829,1bd8cdeb07e6159f8a07c43b7fe15342,Transcript: Q&A With Philadelphia Fed’s Patrick Harker,Transcript: Reporters’ Q&A With Philadelphia Fed’s Harker in New York,False,5,incorrect,,
853,5c4c089dffcef70ff2d3423a82948fff,Transcript: Fed’s Harker Answers Reporters’ Questions in Philadelphia,Transcript: Audience Q&A With Philadelphia Fed’s Harker in New York,True,5,incorrect,,
875,1f7d985b297d0a500c45be70bdeaf24c,Fed’s Kaplan Says Rate Rise Is Getting Closer,Fed’s Kaplan Continues to See Two More Rate Rises This Year,True,5,incorrect,,
876,c455672de5f529374d91ca0d5bda0f18,Fed’s Harker Expects Three “Modest” Interest Rate Increases This Year,Fed’s Harker Sees Two More Rate Increases This Year As Appropriate,True,5,incorrect,,
980,9cf695b80695e1d7f59db872633ba1cc,"Inflation, up 0.2%, Moves Closer to Fed Target",Inflation Well Short of Fed’s 2% Target,False,5,incorrect,,
996,8302f321d37379111a27501aeeb0e35f,Evans: Fed should complete $600 billion in bond buys,Fed's Evans: not yet time to cut bond purchases,False,5,incorrect,,
1010,87d6356d6c58834ecf5c4f2154653cb3,Fed’s Evans Unlikely to Support Rate Increase Until 2016,Fed’s Evans Stays Cautious on Rate Increases,True,5,incorrect,,
1019,bc1c2861007851c684ee128cc4b0f367,What to Watch at the Fed Meeting,What to Expect From the Fed Meeting: Video,False,5,incorrect,,
1048,55c64ffd212ec5b3cc9fcb849ef18a42,Economists Predict Modest Shrinkage In Fed’s Balance Sheet,Economists See Modest Impact From a Fed Balance-Sheet Reduction,False,5,incorrect,,
1075,f06dfb1dd1c746f1a35167156f0f73b6,Fed’s Williams Remains Supportive of Raising Rates This Year,Fed’s Williams: Raising Rates 2 or 3 Times This Year ‘Makes Sense’,True,5,incorrect,,
1190,efb0a6f6ca40c70e7a863c9be9d2a4c0,Fed’s Williams See Steady Course of Rate Increases in 2016,Fed’s Williams: Rate Increases Needed to Keep Economy on Track,False,5,incorrect,,
1209,da5a9b471ded143cf9ad03f879e44837,Fed’s Dudley: Case for September Rate Increase Now ‘Less Compelling’,Fed’s Dudley: Still Likely on Track for 2015 Rate Rise,False,5,incorrect,,
1213,043986c952d98aed3df02484c2874068,Fed’s Kaplan Sees Rate Rises Sooner Rather Than Later,Fed’s Kaplan Sees Two More Rate Increases This Year,False,5,incorrect,,
1214,2a8748f1082832040d3cc0f2d898d459,Bernanke says low rates won't stoke inflation,Bernanke: must be comfortable inflation to stay low,False,5,incorrect,,
1291,f39eaa64c39433e3b8da1a36128ac4be,What to Expect From the Fed Meeting: Video,Central Bank Video Briefing: The Fed’s March Meeting and Beyond,False,3,incorrect,,
1320,c327f53289c9360b5d5865fd1f74025c,Fed could delay rate hikes with inflation 'floor'-Fed study,Fed’s Rate Delay Spurred by Worry Over Low Inflation,False,5,incorrect,,
1342,cdd84702263e624bdb7922f3c79041a8,UPDATE 1-Fed can be even more explicit about future policy-Evans,Evans: Time for Fed to Be Patient With Rate Policy,False,5,incorrect,,
1387,9189bd80315cb302ef6f2a7a9dee35fc,Hilsenrath’s Take: Looking Past December at a Fed on Guarded Path,Hilsenrath’s Take: The Fed is Prepared to Stand Pat Until December,False,5,incorrect,,
1389,d371b1c00f39d02449d31a308c65c93e,WSJ Survey: Economists See More Gradual Path of Fed Interest-Rate Increases,WSJ Survey: Economists Point to December Rate Increase for Fed,False,3,incorrect,,
1422,c64d1aeb95d1d72b690d89c12017264f,Transcript: Q&A With Janet Yellen,Transcript: Janet Yellen’s September Postmeeting Press Conference,True,4,incorrect,,
1571,5b9c197d8ed3e7ccf9b2ae9d51f8f47e,Fed’s Kashkari Sees No Urgency to Raise Rates,Fed’s Kashkari Sees No Strong Case for Raising Rates Given Inflation Levels,False,5,incorrect,,
1575,a4f0ce881c47c37fd672f70fcefa51a8,Fed’s Kashkari Says Central Bank Won’t Move Aggressively to Raise Rates,Fed’s Kashkari Sees No Strong Case for Raising Rates Given Inflation Levels,False,5,incorrect,,
1579,2ac4e7b84aafa03637e0c6c58f5f1e43,Fed’s Kaplan Says Rate Rise Is Getting Closer,Fed’s Kaplan Sees Three Rate Increases in 2017,True,4,incorrect,,
1632,8197fb67a437d03a7f35952ec5cf9a06,Watch Janet Yellen’s Press Conference Live,Takeaways From Janet Yellen’s Press Conference,True,5,incorrect,,
1637,ff79a72a399797cd7f4cd90b1890d1d0,Fed’s Kaplan Says He Could Back Rate Rise in June if Data Allow,"Fed’s Kaplan Seeks Rate Rise Soon, but Not Necessarily in June",True,5,incorrect,,
1653,184ef8ae06c14fde7baf97fa7aa866de,The Fed Needs to Get Its Story Straight,The Fed Has Some Explaining to Do,False,5,incorrect,,
1684,b962b18386de720fbfc123ff6ac7c745,"Fed’s Bullard: Fed Should ‘Go Early, Go Gradually’",Fed’s Bullard in No Rush to Raise Rates,False,5,incorrect,,
1686,39401682edd83776f965b9c1a24c007d,Yellen vs. the Fed critics,Yellen Expected to Be Pushed to Defend Fed’s Strategies,False,5,incorrect,,
1692,5bb96908ac83a5b5ffaa6251ae47e9f3,Kaplan Wants Fed to Lift Rates in the ‘Not-Too-Distant Future’,Fed’s Kaplan Wants to See Inflation Pick Up Before Raising Rates,False,5,incorrect,,
