id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict
nifty_1274,Transcript: Janet Yellen’s Senate Banking Committee Testimony,nifty_1404,Transcript: Janet Yellen’s Senate Banking Committee Testimony,1.0000005,1.0,239,a87357a89235a7b783c603d03463782a,True,5,False,
nifty_450,Fed's easy policy appropriate right now:Yellen,nifty_450,Fed's easy policy appropriate right now: Yellen,1.0000004,1.0,0,eb75b31e0fe4eaaa297b0f4c88c53f6f,True,5,False,
nifty_165,Analysts' view: What economists are saying about Fed's QE2,nifty_166,Analysts' view: What economists are saying about Fed's QE2,1.0000002,1.0,1,b1fa23fd8255672e8a63ea99f209e88d,True,5,False,
nifty_202,"Factbox: Fed officials' comments on the economy, policy",nifty_227,"Factbox: Fed officials' comments on the economy, policy",1.0000002,1.0,48,ac9efe6858f2b584f5dcfd8a310cb710,True,5,False,
nifty_1173,Text of Fed Statement,nifty_1194,Text of Fed Statement,1.0000002,1.0,42,5b8c41430fb53951c77b0d0fdd23965d,True,5,False,
nifty_1173,Text of Fed Statement,nifty_1221,Text of Fed Statement,1.0000002,1.0,91,5b8c41430fb53951c77b0d0fdd23965d,True,5,False,
nifty_1224,U.S. fed funds rate remains at 0.37 pct,nifty_1227,U.S. fed funds rate remains at 0.37 pct,1.0000002,1.0,7,01073fe0bdc515e97c6c2683f8266ab5,True,5,False,
nifty_103,FACTBOX-Fed staff forecasts from FOMC minutes,nifty_353,FACTBOX-Fed staff forecasts from FOMC minutes,1.0000001,1.0,455,84fd13f051291639ba01fc4dfc1ea5c6,True,5,False,
nifty_202,"Factbox: Fed officials' comments on the economy, policy",nifty_333,"Factbox: Fed officials' comments on the economy, policy",1.0000001,1.0,239,ac9efe6858f2b584f5dcfd8a310cb710,True,5,False,
nifty_202,"Factbox: Fed officials' comments on the economy, policy",nifty_376,"Factbox: Fed officials' comments on the economy, policy",1.0000001,1.0,315,ac9efe6858f2b584f5dcfd8a310cb710,True,5,False,
nifty_202,"Factbox: Fed officials' comments on the economy, policy",nifty_412,"Factbox: Fed officials' comments on the economy, policy",1.0000001,1.0,386,ac9efe6858f2b584f5dcfd8a310cb710,True,5,False,
nifty_227,"Factbox: Fed officials' comments on the economy, policy",nifty_412,"Factbox: Fed officials' comments on the economy, policy",1.0000001,1.0,338,ac9efe6858f2b584f5dcfd8a310cb710,True,5,False,
