row_idx,pair_id,text1,text2,doer_label,confidence,evaluator_verdict,human_label,human_notes
1440,12074056dfc8dbf6b60e6960b0373f8b,"European shares near six-week highs, OCI surges","European shares hit six-week highs, OCI surges",True,5,incorrect,,
2076,7e3456200bfa1771bbf569a14eba09bc,Europe's Markets Sink,Europe Sinks Markets,False,5,incorrect,,
2701,3c998d9d116020f07a0dec1763891fad,Europe Markets Rebound,European Stocks Rebound,False,5,incorrect,,
4472,1757e5a79c2b3c4aa716b85db45cd878,European shares turn negative as financials fall,"European shares turn negative, led by banks",True,5,incorrect,,
4475,7d9d1badf01aa878506a98a9ae54195a,Europe Factors to Watch-Shares set to inch up; eyes on Fed,European shares inch up early; all eyes on Fed,True,5,incorrect,,
4478,db243b209020a463ab7ca01cf54fd8cb,European Factors -- Shares seen little changed; commods eyed,European Factors-Shares seen little changed; focus on miners,True,5,incorrect,,
4567,99ccf182c138b584e3411460d6035696,RPT-European Factors to Watch - Shares expected to fall on Wednesday,European Factors to Watch-Shares set to fall,True,5,incorrect,,
4608,9b35de17a3d8429f100a70dc3b751736,European shares slip as oils weigh; banks rebound,"Banks, oils drag European shares lower",True,5,incorrect,,
5221,b0b79161595c6c07970ba0ac01ad45cf,European Stocks Eke Out Gains,European Stocks Gain,True,5,incorrect,,
5286,fb77c35d7bfd360ac03916030dc463c3,Europe Stocks Slip on GDP Fears,European Stocks Slip on U.S. Worries,True,5,incorrect,,
5295,88c6fbdfe60ecdcd5a38b43067740ddf,European shares rise on bright technology results,European Shares Rise,True,5,incorrect,,
5377,dfbfcbd50c45ff4eebd59fec40d2cc41,UPDATE 1-European Factors to Watch-Shares seen steady ahead of ECB,Europe Factors to Watch-Shares set to pause; ECB eyed,False,5,incorrect,,
5487,55d6e6eb460e6003c301967153820b23,"European shares rise, led by energy sector",European Shares Rise,True,5,incorrect,,
5532,3b078656c7330180fcb929df183bb4f4,"European shares rise on ECB rate cut, summit hopes",European shares rise on hopes of fresh ECB measures,True,4,incorrect,,
5635,21b93d6ca13167f47bd785015d27924f,European Markets Eke Out Gains,European Stocks Eke Out Small Gains,True,5,incorrect,,
6015,94252caa94e8f0c5935ddf11962cdb43,European Bank Stocks Fall,European shares fall as banks hit by debt worries,True,5,incorrect,,
6048,11c5b6eceea75e092e57bb71a865d8d5,"European shares edge higher ahead of Fed, ECB",European shares edge up ahead of key ECB meeting,False,5,incorrect,,
6078,09e5893a6b1e6b82a8fb3507b046b41f,"Telecoms merger news props up European shares, halting market slide",European Shares Buoyed by Merger News,True,5,incorrect,,
6109,ddee973e1467ecadcf70e8d5996710dd,European Factors to Watch-Shares set to remain under pressure after slump,European Factors to Watch-Shares set to fall,True,5,incorrect,,
6494,0ae3166b18f2dbb6a0ed99aceeb0063c,Europe Stocks Rise for Third Day,European Stocks Rise,True,5,incorrect,,
6694,61c4bef5c6baa31a894a505925a26eb6,Resources Weigh on Europe Stocks,"Tech, Resources Stocks Weigh on European Markets",True,5,incorrect,,
6891,3dd0470c802afc17c43b0fc3c26fe51d,Banks Lift European Stocks,"Tech Stocks, Banks Lift Europe's Markets",False,5,incorrect,,
6933,380eec7fe39ae4e54a692ca86b684bfb,"Europe shares retreat ahead of data, rate decisions",European shares retreat after weak German data,True,5,incorrect,,
7427,ba537f47aa474ce03f236b2128654142,"Euro, European Stocks Fall",Europe Stocks Fall to Ten-Month Low,True,5,incorrect,,
7437,07774c12d17412f8ac08549305b393f9,European shares rise ahead of ECB,European Shares Rise Again,True,4,incorrect,,
7548,02458e3188a2f7cffba96c58915f90f9,European Stocks Rise 2.6%,European Stocks Rise Tepidly,True,5,incorrect,,
8471,d10a402f8cfc6a7dfbbfae2f88e848c9,European Stocks Gain,European Stocks Gain for 11th Month,True,5,incorrect,,
8480,062ce0e382f99df4d076166e4fc67f3b,European Stocks Rise in Cautious Trade,European Stocks Rise,True,5,incorrect,,
9496,c4404d8144652dd0005435aa7bbc1e5f,Europe shares advance on positive economic outlook,Europe shares rise on corporate earnings optimism,True,5,incorrect,,
9692,cdb01d550b500060899dcae920436217,European Stocks Rise Slightly,European Stocks Hit New High,True,3,incorrect,,
9790,f579332f5776dbfe21d427f9e927716e,European Stocks Back to Nearly,European Stocks Slip Back From Highs,False,5,incorrect,,
9797,c7eeca252f1e10d35857ebd446a12a4e,Banks Lead as European Stocks Rise,"Banks, Resource Firms Lead European Stocks",True,5,incorrect,,
10385,6e0bc5b61728a8149c4c47554ea0735a,European shares rise ahead of ECB funding results,European shares edge up ahead of key ECB meeting,True,5,incorrect,,
10494,9a59f555413ed2846271c9e6d23104ea,Europe Stocks Climb to 18-Month High,Europe Stocks On Rise,True,5,incorrect,,
10679,14e70daa0d8eaab91a014891c7538cab,"European Factors to Watch-Shares to edge higher, focus on U.S.","European Factors to Watch-Shares to track U.S. dip, tech stocks in focus",True,3,incorrect,,
10771,2b025f7017e98713447af0a0513a9d06,"European Factors to Watch-Shares seen higher, focus on earnings",European Factors to Watch-Shares seen up for 4th straight day,True,3,incorrect,,
10772,a93f64d892974f55aaab16396ce6713f,Europe Stocks Gain,Earnings Boost Europe Stocks,True,4,incorrect,,
10784,a32e946bdc6c8a79d0002af0c0eb3835,Europe Factors to Watch-Shares set to rise ahead of ECB,Europe Factors to Watch-Shares set to pause; eyes on earnings,True,3,incorrect,,
10785,b45482b9f190653b7533f71959413de5,European Stocks Gain for Fifth Day,European Stocks Gain,True,5,incorrect,,
10798,0d905a28eb38071ff09c5b28d30f8548,European Factors to Watch-Shares to ease on global growth worries,"European Factors to Watch-Shares seen higher, focus on earnings",True,3,incorrect,,
10802,7600317136c26554041c8a027b794af9,European shares tread water ahead of ECB,European shares inch higher ahead of ECB,True,4,incorrect,,
10818,75069509a192a2a6d1392d59331d4a0d,Europe Factors-Shares set to edge up ahead of Fed,Europe Factors to Watch-Shares set to rise ahead of ECB,True,3,incorrect,,
14032,aae8d0125d51969c95df23825233cab8,"European shares edge higher ahead of Fed, ECB","European shares steady, with ECB in focus",False,5,incorrect,,
14517,ba76b03ed47e34f27ea1a3eaa84bc840,European Shares Fall,"European shares drift lower, InterContinental weak",True,5,incorrect,,
15202,a9dc3a66eb569efeb3eff3028e1a395c,Financials help European shares to hit 2-week high,Financials help European shares rise for fourth straight day,True,5,incorrect,,
15584,89d631f5edbc72ecc61c38b50c451ed3,European Stocks Little Changed,European Stocks Slightly Higher,True,5,incorrect,,
15702,4dd25819c8abba55edb3f6a3ec03cd24,Europe Factors - Shares seen rising; data eyed,Europe Factors-Shares set to edge up ahead of Fed,True,5,incorrect,,
15839,10ff3a25c1c534c76e5b120d8b38877d,"European shares set to rebound on Fed, Intel","European shares jump on Fed, strong earnings",True,4,incorrect,,
16171,ebe96afce78d7860bbf8233b8b6d6bb8,European Stocks Back to Nearly,European Stocks Rebound But Investors Remain Cautious,False,2,incorrect,,
16657,a608271f60a2185c497320f7a15fd4cf,European Stocks Surge,European Stocks Up Modestly,False,5,incorrect,,
17608,0b23f20aa48a71a533df3a94c23e7b8a,European Factors to Watch- Shares to edge slightly higher,European Factors to Watch-Shares seen up for 4th straight day,True,5,incorrect,,
17612,833c4c1cbf8fa2f9d1146a421db47d2d,Europe Stocks Rise for Third Day,Europe Stocks Gain,True,5,incorrect,,
17688,dd438d101c347110eb7d78268f0dd5ef,European stocks up on earnings hopes,European Stocks Advance,True,5,incorrect,,
