id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_496,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,nifty_836,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,1.0000007,1.0,637
nifty_298,Boeing Raises India Sales Forecast,boeing|india sales forecast|india,nifty_529,Boeing Raises India Sales Forecast,boeing|india sales forecast|india,1.0000006,1.0,426
nifty_496,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,nifty_740,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,1.0000006,1.0,455
nifty_740,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,nifty_836,Boeing Commercial Deliveries Rise,boeing commercial deliveries|boeing,1.0000006,1.0,182
nifty_187,Airbus Raises Market Forecast,airbus|market forecast,nifty_339,Airbus Raises Market Forecast,airbus|market forecast,1.0000005,1.0,279
nifty_723,Ryanair Issues Profit Warning,ryanair|profit warning,nifty_757,Ryanair Issues Profit Warning,ryanair|profit warning,1.0000004,1.0,61
nifty_1091,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,nifty_1192,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,1.0000002,1.0,188
nifty_1192,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,nifty_1293,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,1.0000002,1.0,183
nifty_1285,Airbus Cuts A380 Production Plans,airbus|a380 production plans,nifty_1377,Airbus Cuts A380 Production Plans,airbus|a380 production plans,1.0000002,1.0,168
nifty_115,Cathay Pacific Profit Soars,cathay pacific profit|cathay|pacific,nifty_908,Cathay Pacific Profit Soars,cathay pacific profit|cathay|pacific,1.0000001,1.0,1470
nifty_318,"Air T, Inc. Reports Unaudited First Quarter Earnings","air t, inc.|unaudited first quarter earnings|air|inc.",nifty_708,"Air T, Inc. Reports Unaudited First Quarter Earnings","air t, inc.|unaudited first quarter earnings|air|inc.",1.0000001,1.0,728
nifty_1091,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,nifty_1293,Boeing Earnings: What to Watch,boeing earnings|what|boeing|earnings,1.0000001,1.0,371
