distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Exponential,62,0.040306636774261724,1.0,2.0806132735485234,7.7630957200830295,[0.12448866226780582],2.0,1.0,1.0,1.0,1.25
Exponential,59,0.14238951309549847,0.9411764705882353,2.284779026190997,7.968643006447427,[0.14485899649960957],6.0,11.0,3.0,3.0,5.75
Exponential,67,0.12095316045199205,0.9301994301994302,2.241906320903984,7.894452013597905,[0.1376523726866857],3.0,39.0,2.0,2.0,11.5
Logistic,62,0.16442761352896693,1.0,4.328855227057934,15.693820120126945,"[3.2897271885514377e-09, 0.06894831235726934]",7.0,1.0,23.0,100.0,32.75
Gamma,62,0.16506641579843426,1.0,4.330132831596869,15.69509772466588,"[4.0688102704255765e-09, 0.012409111458867944]",8.0,1.0,24.0,103.0,34.0
Weibull,62,0.1652948301332113,1.0,4.330589660266423,15.695554553335434,"[1.8649762121711229, 1.0611122575468936e-14]",10.0,1.0,25.0,104.0,35.0
Burr_XII,62,0.16690109357073224,1.0,4.3338021871414645,15.698767080210477,"[0.16547637315291952, 1.5624311418929837]",12.0,1.0,26.0,105.0,36.0
Burr_III,62,0.1671863647378228,1.0,4.334372729475645,15.699337622544657,"[0.22903844929917666, 0.6129711896976895]",13.0,1.0,27.0,106.0,36.75
LogNormal,62,0.1713980753676189,1.0,4.3427961507352375,15.707761043804249,"[5.008490768999624, 9.754616695497822e-14]",14.0,1.0,28.0,108.0,37.75
Burr_XII,67,0.18361451787120434,0.9301994301994302,4.367229035742409,15.67232042113025,"[0.16421677334277418, 1.5417554168657375]",16.0,39.0,29.0,84.0,42.0
Burr_III,67,0.18379479711187174,0.9301994301994302,4.367589594223744,15.672680979611584,"[0.22484724184634186, 0.6228424807905054]",17.0,39.0,30.0,85.0,42.75
Logistic,67,0.1839238970231717,0.9301994301994302,4.367847794046344,15.672939179434184,"[4.8256656237989364e-09, 0.06834399497625221]",18.0,39.0,31.0,86.0,43.5
Gamma,67,0.1844985822522682,0.9301994301994302,4.3689971645045365,15.674088549892378,"[2.5019200855607e-09, 0.01244127094569501]",19.0,39.0,32.0,87.0,44.25
Weibull,67,0.18490366076286777,0.9301994301994302,4.369807321525736,15.674898706913577,"[1.8346271516918644, 1.121823540975601e-14]",21.0,39.0,34.0,88.0,45.5
Exponential,64,0.26044205714391994,0.9393939393939393,2.5208841142878398,8.202444476847377,[0.18802325928540878],153.0,21.0,5.0,5.0,46.0
LogNormal,67,0.185877710395504,0.9301994301994302,4.371755420791008,15.67684680617885,"[5.123742154223316, 1.1754638069551815e-13]",22.0,39.0,35.0,89.0,46.25
Exponential,68,0.2590614708042605,0.9080459770114943,2.518122941608521,8.198298582045112,[0.12869408333082205],149.0,50.0,4.0,4.0,51.75
LogNormal,59,0.19011393370471913,0.9411764705882353,4.380227867409438,15.747955827922297,"[4.985470470480573, 1.9687218535231864e-13]",23.0,11.0,36.0,138.0,52.0
Burr_XII,59,0.1914153961481008,0.9411764705882353,4.382830792296201,15.750558752809061,"[0.1654367919446996, 1.567660803727441]",25.0,11.0,37.0,141.0,53.5
Burr_III,59,0.1915116748376379,0.9411764705882353,4.383023349675276,15.750751310188134,"[0.22959880524425913, 0.6104900964147576]",26.0,11.0,38.0,142.0,54.25
Gamma,59,0.1936336167877257,0.9411764705882353,4.387267233575451,15.75499519408831,"[3.0332137903045102e-09, 0.012072408779559117]",27.0,11.0,39.0,145.0,55.5
Logistic,59,0.19365934327806403,0.9411764705882353,4.387318686556128,15.755046647068987,"[4.653961064788726e-09, 0.07008246948653407]",28.0,11.0,40.0,146.0,56.25
Weibull,59,0.1963546466353009,0.9411764705882353,4.392709293270602,15.760437253783461,"[1.8699627325096713, 1.2067542276215336e-14]",29.0,11.0,41.0,155.0,59.0
LogNormal,64,0.19884496373961583,0.9393939393939393,4.397689927479232,15.760810652598305,"[4.994856966725135, 2.1587323408080675e-13]",31.0,21.0,42.0,156.0,62.5
Logistic,46,0.21015865376199092,0.8375000000000001,4.420317307523982,15.679297140311972,"[4.7232326343689574e-09, 0.0675192945914809]",37.0,81.0,47.0,91.0,64.0
Gamma,46,0.21057313096161734,0.8375000000000001,4.4211462619232345,15.680126094711225,"[4.189654461268605e-09, 0.013133541143309283]",38.0,81.0,48.0,92.0,64.75
Burr_XII,46,0.21067457557361127,0.8375000000000001,4.421349151147223,15.680328983935212,"[0.1627978373017775, 1.5333836973078754]",40.0,81.0,49.0,93.0,65.75
Burr_III,46,0.21084674534407907,0.8375000000000001,4.421693490688158,15.680673323476148,"[0.22184924483356022, 0.6268071248119471]",41.0,81.0,50.0,94.0,66.5
Burr_III,64,0.2053847819711053,0.9393939393939393,4.41076956394221,15.773890289061285,"[0.22915739035667096, 0.6081576653430032]",33.0,21.0,44.0,171.0,67.25
Burr_XII,64,0.2056197434035792,0.9393939393939393,4.411239486807158,15.774360211926233,"[0.16479466166555332, 1.5723027767320144]",34.0,21.0,45.0,172.0,68.0
LogNormal,56,0.20357812874564157,0.9305555555555556,4.407156257491283,15.776724144536853,"[4.98007864176002, 1.5578189740208485e-13]",32.0,30.0,43.0,175.0,70.0
Weibull,46,0.21175891854409865,0.8375000000000001,4.423517837088197,15.682497669876186,"[1.8195311602195459, 1.1705700316601056e-14]",49.0,81.0,57.0,95.0,70.5
LogNormal,46,0.21234303195159432,0.8375000000000001,4.424686063903189,15.683665896691178,"[5.203896994881204, 2.476442727047412e-10]",53.0,81.0,59.0,96.0,72.25
Burr_III,56,0.21138671292431396,0.9305555555555556,4.422773425848628,15.792341312894198,"[0.22985396536629868, 0.6078017632913562]",46.0,30.0,55.0,191.0,80.5
Burr_XII,56,0.21168131521208142,0.9305555555555556,4.423362630424163,15.792930517469733,"[0.16520199647519418, 1.5731656024659004]",47.0,30.0,56.0,192.0,81.25
LogNormal,68,0.21115039812843875,0.9080459770114943,4.422300796256877,15.782652077130058,"[4.99292001724798, 1.3337688423148003e-13]",44.0,50.0,53.0,181.0,82.0
LogNormal,76,0.22129480111981478,0.8820598006644518,4.44258960223963,15.732428292157342,"[5.11308999942716, 1.4677326492300796e-13]",79.0,60.0,79.0,122.0,85.0
Logistic,64,0.21505406057179616,0.9393939393939393,4.430108121143593,15.793228846262666,"[4.239865758288364e-09, 0.07013114084372106]",62.0,21.0,65.0,193.0,85.25
Exponential,56,0.33674070092405983,0.9305555555555555,2.67348140184812,8.358265345370905,[0.18848627670417017],291.0,37.0,6.0,8.0,85.5
