distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
LogNormal,34,0.3004024331245152,0.639294522311823,4.60080486624903,21.50864172803799,"[4.454622691401805, 4.899348137744354e-11]",104.0,105.0,75.0,251.0,133.75
Gamma,34,0.3010577238094529,0.639294522311823,4.602115447618906,21.509952309407865,"[7.610072971662222e-05, 0.03489356397356621]",107.0,105.0,78.0,262.0,138.0
Weibull,34,0.30120451825014893,0.639294522311823,4.602409036500298,21.510245898289256,"[1.1582532144143067, 0.1175314501934911]",109.0,105.0,79.0,263.0,139.0
Burr_XII,34,0.3013249977144133,0.639294522311823,4.602649995428827,21.510486857217785,"[0.21152711927137532, 1.5500947086790327]",111.0,105.0,80.0,266.0,140.5
Burr_III,34,0.3013474874162481,0.639294522311823,4.602694974832496,21.510531836621453,"[0.28805226798034284, 0.6116870167206829]",112.0,105.0,81.0,267.0,141.25
Logistic,34,0.30136610062391794,0.639294522311823,4.602732201247836,21.510569063036794,"[0.112734612335347, 0.27535053845322655]",113.0,105.0,82.0,268.0,142.0
Gamma,35,0.2957234951641398,0.6272080536912752,4.591446990328279,21.499514519322382,"[8.619829975055103e-05, 0.036548622681587324]",40.0,297.0,27.0,211.0,143.75
Weibull,35,0.2959111649979592,0.6272080536912752,4.591822329995918,21.49988985899002,"[1.1288557274636772, 0.12156515866202097]",41.0,297.0,28.0,216.0,145.5
LogNormal,36,0.2978526004319356,0.6304033782337555,4.595705200863871,21.506884136091788,"[4.457900024876994, 4.166402415468643e-11]",76.0,217.0,54.0,240.0,146.75
Burr_XII,35,0.2960387449895458,0.6272080536912752,4.592077489979092,21.500145018973193,"[0.22074889483351687, 1.5048160182694013]",44.0,297.0,29.0,217.0,146.75
LogNormal,35,0.2960467555458099,0.6272080536912752,4.59209351109162,21.50016104008572,"[4.470245911848388, 2.1025894335179942e-11]",45.0,297.0,30.0,218.0,147.5
Gamma,36,0.29792827092238594,0.6304033782337555,4.595856541844772,21.507035477072687,"[8.15195883588314e-05, 0.03575522711896127]",77.0,217.0,55.0,241.0,147.5
Burr_III,35,0.2960613465941966,0.6272080536912752,4.592122693188394,21.500190222182496,"[0.29440582096247664, 0.635857977453313]",46.0,297.0,31.0,219.0,148.25
Weibull,36,0.29804963878082796,0.6304033782337555,4.596099277561656,21.507278212789572,"[1.1446267391687448, 0.11945475107960961]",78.0,217.0,56.0,243.0,148.5
Logistic,35,0.2960782549873694,0.6272080536912752,4.592156509974739,21.50022403896884,"[0.1395206438799399, 0.2822313212937397]",47.0,297.0,32.0,220.0,149.0
Burr_XII,36,0.2981590271334971,0.6304033782337555,4.596318054266995,21.50749698949491,"[0.2157412079353386, 1.5298882987177735]",81.0,217.0,57.0,246.0,150.25
Burr_III,36,0.29817976180819933,0.6304033782337555,4.596359523616399,21.507538458844316,"[0.29105622499509876, 0.6221932014612415]",82.0,217.0,58.0,248.0,151.25
Logistic,36,0.29819845145467505,0.6304033782337555,4.59639690290935,21.507575838137267,"[0.12364228037197122, 0.27843394340902394]",83.0,217.0,59.0,249.0,152.0
Gamma,47,0.29888598807050454,0.631465529870206,4.597771976141009,21.511942512432984,"[8.859106200300163e-05, 0.036675137875061596]",93.0,193.0,67.0,274.0,156.75
Weibull,47,0.29913823016317476,0.631465529870206,4.59827646032635,21.512446996618326,"[1.121033675956057, 0.12327894100089783]",96.0,193.0,70.0,275.0,158.5
