distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Weibull,90,0.11921109112406507,0.8861635220125786,4.23842218224813,16.055931659814622,"[0.2695184344414962, 0.4427765885916543]",3.0,17.0,43.0,116.0,44.75
LogNormal,90,0.1269625277551173,0.8861635220125786,4.253925055510234,16.071434533076726,"[2.2891975176500052, 2.056148168374733]",13.0,17.0,51.0,121.0,50.5
Logistic,90,0.12728867236795163,0.8861635220125786,4.254577344735903,16.072086822302396,"[7.540921815144231, 0.7546284137779812]",14.0,17.0,52.0,122.0,51.25
Burr_III,90,0.12855806650554624,0.8861635220125786,4.257116133011093,16.074625610577584,"[0.6666686108398028, 2.9165459516494403]",15.0,17.0,53.0,123.0,52.0
Burr_XII,90,0.1457455759605029,0.8861635220125786,4.291491151921006,16.109000629487497,"[14.886720867354153, 0.028588924747062188]",35.0,17.0,66.0,143.0,65.25
Weibull,68,0.13646224666912626,0.8439040068566531,4.272924493338253,16.057828580378956,"[0.2374470369955832, 0.46657593835176003]",21.0,70.0,56.0,117.0,66.0
Weibull,71,0.13211270010012693,0.8664000000000001,4.264225400200254,16.131102175455233,"[0.26200917782928534, 0.45904973706520485]",20.0,35.0,55.0,154.0,66.0
LogNormal,68,0.14213936412065423,0.8439040068566531,4.284278728241309,16.069182815282012,"[2.1765043579826857, 2.2351378757914735]",27.0,70.0,61.0,118.0,69.0
LogNormal,71,0.13890925444400007,0.8664000000000001,4.277818508888,16.14469528414298,"[2.2452339658782705, 2.0380430983212086]",22.0,35.0,57.0,163.0,69.25
Exponential,90,0.23401110048797763,0.871069182389937,2.4680222009759554,8.376776939759202,[0.11624268914806427],252.0,25.0,1.0,1.0,69.75
Logistic,68,0.14224333722327318,0.8439040068566531,4.284486674446546,16.069390761487252,"[9.077143540956307, 0.7939669395539893]",29.0,70.0,63.0,119.0,70.25
Logistic,71,0.13969572415239406,0.8664000000000001,4.279391448304788,16.146268223559765,"[7.404844509815677, 0.7682337875843963]",24.0,35.0,58.0,165.0,70.5
Burr_III,68,0.14252622714019036,0.8439040068566531,4.285052454280381,16.069956541321083,"[0.6961951578744319, 3.457079583113559]",31.0,70.0,65.0,120.0,71.5
Burr_III,71,0.14080245443602754,0.8664000000000001,4.281604908872055,16.148481684127034,"[0.6778133343358846, 2.9405911247641896]",26.0,35.0,60.0,166.0,71.75
Burr_III,86,0.15276017985317294,0.8561346362649295,4.305520359706346,16.13183073156248,"[0.2584625099145444, 0.520067121054051]",53.0,52.0,80.0,155.0,85.0
Burr_III,88,0.15649070958667394,0.8668789808917198,4.312981419173348,16.133428833368036,"[0.25830208207653726, 0.5200038976627532]",67.0,27.0,89.0,159.0,85.5
Burr_XII,86,0.15287100152288396,0.8561346362649295,4.305742003045768,16.132052374901903,"[0.1680396624248464, 1.7783147928035146]",55.0,52.0,81.0,156.0,86.0
Burr_XII,88,0.15664473079194993,0.8668789808917198,4.3132894615839,16.133736875778588,"[0.16792448612596886, 1.7785644353853762]",68.0,27.0,90.0,160.0,86.25
Burr_III,99,0.15173958858901948,0.909039548022599,4.303479177178039,16.22552210894478,"[0.26385303357923057, 0.5088502716834349]",49.0,1.0,77.0,249.0,94.0
Burr_XII,99,0.15212297443461512,0.909039548022599,4.30424594886923,16.22628888063597,"[0.16907456770742546, 1.8090438989065825]",51.0,1.0,78.0,250.0,95.0
Burr_III,62,0.16393801401727037,0.8428571428571429,4.327876028034541,16.092505865995076,"[0.2516812490147219, 0.5162284407266439]",78.0,77.0,96.0,130.0,95.25
Burr_XII,62,0.16410291994345802,0.8428571428571429,4.328205839886916,16.09283567784745,"[0.16327893976696742, 1.7858482638896547]",79.0,77.0,97.0,131.0,96.0
Burr_XII,71,0.1566641892808118,0.8664000000000001,4.313328378561623,16.1802051538166,"[15.033870750393993, 0.028651403283092854]",69.0,35.0,91.0,204.0,99.75
Weibull,92,0.14251338522762894,0.8183216783216783,4.285026770455258,16.09664739577312,"[0.2536950362352635, 0.4662724182107838]",30.0,175.0,64.0,133.0,100.5
