distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Exponential,93,0.014048509608408748,1.0,2.0280970192168173,6.908481101402822,[0.23849528116921465],2.0,1.0,1.0,1.0,1.25
Exponential,82,0.015555528094859916,1.0,2.0311110561897197,6.920702364544185,[0.23916346929101642],3.0,1.0,2.0,2.0,2.0
Exponential,81,0.015720560062065937,1.0,2.031441120124132,6.9220502402712984,[0.23734752357585373],6.0,1.0,3.0,4.0,3.5
Exponential,40,0.027036747683398792,1.0,2.0540734953667976,6.943664803721263,[0.20263337781391383],7.0,1.0,4.0,5.0,4.25
Exponential,22,0.05939886138063367,0.9789115646258504,2.1187977227612675,6.9211924860855785,[0.17502046335650606],11.0,51.0,5.0,3.0,17.5
LogNormal,93,0.06513442857558221,1.0,4.130268857151164,13.891037021523175,"[3.304896841310972, 8.926704940625134e-11]",13.0,1.0,32.0,79.0,31.25
LogNormal,81,0.06492601333946577,1.0,4.129852026678932,13.911070266973264,"[3.289058522518111, 4.208471323856266e-11]",12.0,1.0,31.0,90.0,33.5
Logistic,93,0.06706411881704379,1.0,4.134128237634088,13.894896402006097,"[0.6145208366234859, 0.4775227413991692]",19.0,1.0,37.0,80.0,34.25
LogNormal,82,0.06538019914626635,1.0,4.130760398292533,13.909943015001463,"[3.2891720207235777, 2.2105361996677978e-10]",14.0,1.0,33.0,89.0,34.25
Logistic,81,0.06668370177138906,1.0,4.1333674035427785,13.91458564383711,"[0.6452674514571888, 0.4848847732805583]",15.0,1.0,34.0,95.0,36.25
Weibull,93,0.06756272905767148,1.0,4.135125458115343,13.895893622487353,"[1.056175682527074, 0.180632499926832]",25.0,1.0,41.0,81.0,37.0
Gamma,81,0.06700789642506291,1.0,4.134015792850126,13.91523403314446,"[0.0006798233010408969, 0.04612910279969401]",17.0,1.0,35.0,96.0,37.25
Logistic,82,0.06712240481863566,1.0,4.134244809637272,13.913427426346203,"[0.6127486000309779, 0.479568320024]",20.0,1.0,38.0,91.0,37.5
Gamma,93,0.06766265111930142,1.0,4.135325302238603,13.896093466610612,"[0.0006612746822528363, 0.04604303265403203]",26.0,1.0,42.0,82.0,37.75
Weibull,81,0.06702295212789304,1.0,4.134045904255786,13.915264144550118,"[1.0516005442531449, 0.18250869406829204]",18.0,1.0,36.0,97.0,38.0
Gamma,82,0.06741032194646372,1.0,4.134820643892928,13.91400326060186,"[0.0006688598803130364, 0.0458208579597243]",23.0,1.0,39.0,92.0,38.75
Weibull,82,0.06746911441437857,1.0,4.134938228828757,13.914120845537688,"[1.059799638942879, 0.18078334835637547]",24.0,1.0,40.0,93.0,39.5
Gamma,40,0.06820722800913334,1.0,4.136414456018267,13.915597072727198,"[0.0006940026121858701, 0.04675422075560189]",27.0,1.0,43.0,98.0,42.25
Gamma,22,0.057622791364363164,0.9789115646258503,4.115245582728726,13.720035109377347,"[0.11131784017411342, 0.7566626121292898]",9.0,60.0,30.0,71.0,42.5
LogNormal,40,0.0683774111821155,1.0,4.136754822364231,13.915937439073163,"[3.2972781913580755, 3.4076167845750503e-10]",28.0,1.0,44.0,100.0,43.25
Weibull,40,0.06891521175147634,1.0,4.137830423502953,13.917013040211884,"[1.0319908537969422, 0.18613112549964345]",29.0,1.0,45.0,101.0,44.0
Burr_III,93,0.07671997919865034,1.0,4.153439958397301,13.91420812276931,"[0.23864174848855382, 0.29252268991520436]",35.0,1.0,47.0,94.0,44.25
Logistic,40,0.06928104128065793,1.0,4.138562082561316,13.917744699270248,"[0.763720866938111, 0.5017766124690882]",30.0,1.0,46.0,102.0,44.75
Burr_XII,93,0.07745746459882231,1.0,4.154914929197645,13.915683093569655,"[0.11458555376830892, 2.5368068771865717]",38.0,1.0,50.0,99.0,47.0
Burr_III,82,0.07690279823795948,1.0,4.153805596475919,13.932988213184851,"[0.2398991410576498, 0.2910444700985429]",37.0,1.0,49.0,103.0,47.5
Burr_III,81,0.07680155558433643,1.0,4.153603111168673,13.934821351463006,"[0.2400045917899601, 0.290941551329411]",36.0,1.0,48.0,105.0,47.5
Burr_XII,81,0.07751692375074909,1.0,4.155033847501498,13.93625208779583,"[0.1148521890299843, 2.545362329414888]",39.0,1.0,51.0,106.0,49.25
Burr_XII,82,0.0776077993583667,1.0,4.155215598716733,13.934398215425665,"[0.11482932228349402, 2.5447699450222228]",40.0,1.0,52.0,104.0,49.25
Burr_III,40,0.08365797728784188,1.0,4.167315954575684,13.946498571284616,"[0.2390563863444861, 0.29026205342651357]",43.0,1.0,54.0,110.0,52.0
Burr_XII,40,0.08424666475805445,1.0,4.168493329516109,13.94767594622504,"[0.11433295843189731, 2.548169556289346]",44.0,1.0,55.0,112.0,53.0
Weibull,22,0.08334002545005068,0.9789115646258504,4.166680050900101,13.771469577548723,"[0.3559649268696686, 0.4440960494099378]",42.0,51.0,53.0,72.0,54.5
LogNormal,22,0.09281029801082344,0.9789115646258504,4.185620596021647,13.790410122670268,"[2.197660871627156, 1.473120947200883]",46.0,51.0,57.0,73.0,56.75
Logistic,22,0.09443235166885929,0.9789115646258504,4.188864703337718,13.793654229986341,"[4.302815507325864, 0.8052394925360813]",47.0,51.0,58.0,74.0,57.5
Burr_III,22,0.09581030091538499,0.9789115646258504,4.19162060183077,13.796410128479392,"[0.7357554374023284, 2.333082235977876]",48.0,51.0,59.0,75.0,58.25
Burr_III,33,0.10775245744104521,0.9910714285714286,4.21550491488209,13.898735867837274,"[0.2349537341717276, 0.29558951542095985]",57.0,41.0,64.0,83.0,61.25
Burr_XII,33,0.10870291757008592,0.9910714285714286,4.2174058351401715,13.900636788095355,"[0.11367854726133814, 2.5210943993826382]",58.0,41.0,65.0,84.0,62.0
