distribution,bin_size,log_loss,auc,aic,bic,params,log_loss_rank,auc_rank,aic_rank,bic_rank,avg_rank
Burr_III,181,0.28840436203046843,0.7202847544392896,4.576808724060937,18.060999115551557,"[4.595143342253071e-13, 0.3009967252093007]",2.0,83.0,1.0,81.0,41.75
Burr_III,159,0.3035790266020162,0.7278169014084507,4.607158053204032,18.105354550002073,"[1.212637950384181e-12, 0.298381471680739]",10.0,69.0,7.0,93.0,44.75
Burr_III,165,0.3274191500919245,0.7557029177718831,4.654838300183849,18.149224667237714,"[5.5073829463931747e-14, 0.297322383677951]",34.0,29.0,24.0,137.0,56.0
Burr_III,186,0.3361334773855335,0.7554517133956387,4.672266954771067,18.155179186767796,"[7.705444645949785e-14, 0.2978054475265127]",44.0,32.0,31.0,141.0,62.0
Burr_III,197,0.3435696742749904,0.7702136573104315,4.687139348549981,18.16236542216768,"[1.7835315815384943e-13, 0.2979409652216869]",54.0,15.0,38.0,147.0,63.5
Burr_III,162,0.310464235806611,0.6978056426332289,4.620928471613222,18.116585688590707,"[7.926020049414162e-13, 0.29823910732486036]",18.0,131.0,13.0,106.0,67.0
LogNormal,181,0.32775223516648727,0.7202847544392896,4.655504470332975,18.139694861823596,"[6.034624505383603, 3.802887528177305e-12]",37.0,83.0,26.0,126.0,68.0
Burr_III,160,0.3024176336179777,0.6725694444444446,4.604835267235956,18.101762527120066,"[1.8399930304318255e-12, 0.2985919163617088]",7.0,182.0,5.0,88.0,70.5
Burr_III,179,0.31040969315990846,0.6768867924528301,4.620819386319817,18.106925486769168,"[1.222846010961408e-12, 0.2992592748295222]",16.0,161.0,11.0,95.0,70.75
Burr_III,174,0.313286102367254,0.6866883116883118,4.626572204734508,18.115867081369572,"[1.2235531110879257e-12, 0.2987295660774355]",25.0,138.0,17.0,104.0,71.0
Burr_III,185,0.3307271737605502,0.7061349693251534,4.661454347521101,18.143087602655697,"[4.470784478011157e-13, 0.29830074251550837]",41.0,101.0,29.0,129.0,75.0
Burr_III,163,0.323565808198381,0.6982006920415226,4.647131616396762,18.14215350935366,"[7.260842172763021e-13, 0.29749912412638885]",31.0,124.0,22.0,127.0,76.0
Burr_III,183,0.3299644993148467,0.7034156423365604,4.6599289986296935,18.14475816368052,"[5.51405845543522e-13, 0.29805491855797683]",38.0,110.0,27.0,131.0,76.5
Burr_III,188,0.35014675991484595,0.7551968155683326,4.700293519829692,18.18128697969332,"[3.710402763942854e-14, 0.29698833183953616]",62.0,39.0,43.0,196.0,85.0
Burr_III,182,0.33683621591904034,0.7000202244918597,4.673672431838081,18.157223845687483,"[7.912803189040469e-13, 0.2976997561480158]",48.0,117.0,33.0,143.0,85.25
Burr_III,176,0.3440836412530576,0.809640522875817,4.688167282506115,18.228734920702912,"[1.8933464468627533e-12, 0.2925465449925049]",58.0,1.0,40.0,266.0,91.25
Burr_III,169,0.3409494166840896,0.7678004535147392,4.681898833368179,18.22463920398942,"[3.439389922803899e-13, 0.29246849394558133]",51.0,22.0,36.0,260.0,92.25
LogNormal,197,0.3602466857367753,0.7702136573104315,4.720493371473551,18.195719445091253,"[5.996266597758941, 5.399141838741331e-12]",79.0,15.0,58.0,223.0,93.75
LogNormal,159,0.3474609959802175,0.7278169014084507,4.694921991960435,18.193118488758476,"[5.983484419434345, 3.496430374134471e-12]",60.0,69.0,42.0,213.0,96.0
LogNormal,186,0.35994663783495723,0.7553512209828159,4.719893275669914,18.202805507666643,"[5.986147238753652, 5.3448054044240134e-12]",78.0,33.0,57.0,230.0,99.5
LogNormal,165,0.35614332961877604,0.7551724137931034,4.712286659237552,18.20667302629142,"[5.976622453009425, 4.442784394587684e-12]",73.0,40.0,53.0,236.0,100.5
Burr_III,154,0.36049943451262334,0.6723333437023673,4.720998869025246,18.127016143954144,"[8.087958724148073e-14, 0.3019399168222456]",81.0,191.0,59.0,113.0,111.0
