row_idx,pair_id,text1,text2,doer_label,confidence,evaluator_verdict,human_label,human_notes
732,6bc9e5dc9b45f8b1198946b67bf969d7,"Xyratex to Present at the Barclays 2012 Global Technology, Media and Telecommunications Conference","Xyratex to Present at the Barclays Global Technology, Media and Telecommunications Conference",True,5,incorrect,,
978,7733da075d2cf08db547c95bc8b86269,Tech Data Corporation to Participate at Investor Conferences,Tech Data Corporation to Participate in Investor Conference,True,5,incorrect,,
1194,128a85f8a6c7fc53bffa2cfd6e5efbf0,Sunshine Heart to Attend Upcoming Investor Conferences,Sunshine Heart to Present at Upcoming Investor Conferences,True,5,incorrect,,
1529,d3603f80a187a87f05feba0954e7b728,EnerNOC to Present at Credit Suisse 2013 Annual Technology Conference,"EnerNOC to Present at Credit Suisse Technology, Media and Telecom Conference",True,5,incorrect,,
1695,92bcdcd0d6cf95f8ce66c0c008183769,Delek US Holdings to Participate in Investor Conferences,Delek US Holdings Announces Investor Conference Schedule,True,5,incorrect,,
1719,d987e926b22f6d529b43e68e78939541,"Yingli Green Energy to Host Investor Day at Its Baoding Headquarters on November 3rd, 2010",Yingli Green Energy Announces Key Takeaways from Investor Day Hosted at Its Baoding Headquarters,True,5,incorrect,,
1874,a940e618ad6cb913e6e9a50ca5a27329,"Organovo, Inc. Investor Presentation Now Available for On-demand Viewing at RetailInvestorConferences.com","Organovo Holdings, Inc.'s Presentations Now Available for On-Demand Viewing at VirtualInvestorConferences.com",False,5,incorrect,,
1901,52f29f9477a41fef58e63cdded1eaada,BNY Mellon to Present at the 2010 Citi Financial Services Conference on March 10,"BNY Mellon to Present at the 2011 Barclays Capital Global Financial Services Conference on Tuesday, September 13",True,5,incorrect,,
2014,a919010c2c0327af93e91d883affed28,Inovio Biomedical to Present at Investor Conferences,Inovio Pharmaceuticals to Present at Upcoming Investor Conferences,False,5,incorrect,,
2021,e31be657aa117ebe0940599ddc5b704c,Union Pacific Corporation's CFO to Address Morgan Keegan 2010 Industrial/Transportation Conference,Union Pacific Corporation's CFO Rob Knight to Address Morgan Keegan Industrial and Transportation Conference,True,5,incorrect,,
2097,ff69850ce18932c8173bf4ba6f85b548,AGTC to Present at Upcoming Investor Conferences,AGTC Leadership to Present at Upcoming Scientific and Investor Conferences,True,5,incorrect,,
2500,eae612b284d42a75ed3368de7388a10f,"CBOE Holdings, Inc. to Present at:",CBOE Holdings To Present At Barclays Global Financial Services Conference On September 10,True,3,incorrect,,
2506,2c6bdb2e0fcefa533a0ec9583756201a,"CBOE Holdings, Inc. to Present at:","CBOE Holdings, Inc. to Present at Credit Suisse 2011 Financial Services Forum Friday, February 11",True,3,incorrect,,
2737,e5da0fd7b894f9e15afd75dc957f58ec,Exelixis Announces March 24 Webcast of Presentation at the Barclays Capital Global Healthcare Conference,Exelixis Announces Webcasts of Upcoming Investor Conference Presentations,True,4,incorrect,,
2987,8cb311df8b21127a69ca4f3c8a07f88d,"RedChip's Small-Cap Virtual Conference Starts Tomorrow, Will Highlight 18 Emerging...",15 Companies to Present at RedChip Small-Cap Equities Virtual Conference on August...,True,5,incorrect,,
