id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict,final_label
nifty_99, Severstal Increases Stake in Crew Gold Corporation,nifty_110, Severstal Increases Stake in Crew Gold Corporation,1.0000007,1.0,20,205ce3041a3ba4bd5d446442756b7cf0,True,5.0,False,,True
nifty_1242,Gold Rises on Weaker Dollar,nifty_1369,Gold Rises on Weaker Dollar,1.0000007,1.0,231,11b41893ec35dc0801da4e6d2c05ec6a,True,5.0,False,,True
nifty_1359,Gold Rises on Weaker Dollar,nifty_1369,Gold Rises on Weaker Dollar,1.0000007,1.0,21,11b41893ec35dc0801da4e6d2c05ec6a,True,5.0,False,,True
nifty_166,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_214,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,91,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_166,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_219,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,99,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_166,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_404,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,441,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_214,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_216,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,5,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_216,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_219,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,3,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_216,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_404,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000006,1.0,345,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_1252,Gold Rises on Weaker Dollar,nifty_1369,Gold Rises on Weaker Dollar,1.0000006,1.0,215,11b41893ec35dc0801da4e6d2c05ec6a,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,41,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_243,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,265,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_259,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,294,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_338,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,436,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_376,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,504,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_394,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,540,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_98,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_420,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,589,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_214,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,184,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_217,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,190,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_219,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,192,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_237,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,226,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_268,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,282,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_318,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,373,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_332,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,400,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_404,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,534,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_427,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,576,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_113,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_521,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,749,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_234,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,206,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_243,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,224,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_259,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,253,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_338,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,395,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_376,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,463,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_394,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,499,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_121,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,nifty_420,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,1.0000005,1.0,548,acf8b9f139b101e6dbd4a43419984b39,True,5.0,False,,True
nifty_135,Gold Prices Settle Lower,nifty_399,Gold Prices Settle Lower,1.0000005,1.0,487,d74f0039033265fce2465ae393c42651,True,5.0,False,,True
nifty_166,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_216,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,96,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
nifty_207,REG - Gold Bullion Secs - Redemption Of Gold Bullion Securities,nifty_214,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,13,34cbbfbedc24261a67f1c1afb6e72152,True,5.0,False,,True
nifty_207,REG - Gold Bullion Secs - Redemption Of Gold Bullion Securities,nifty_219,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,21,34cbbfbedc24261a67f1c1afb6e72152,True,5.0,False,,True
nifty_207,REG - Gold Bullion Secs - Redemption Of Gold Bullion Securities,nifty_318,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,202,34cbbfbedc24261a67f1c1afb6e72152,True,5.0,False,,True
nifty_207,REG - Gold Bullion Secs - Redemption Of Gold Bullion Securities,nifty_404,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,363,34cbbfbedc24261a67f1c1afb6e72152,True,5.0,False,,True
nifty_214,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,nifty_318,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,1.0000005,1.0,189,08656ee75b89ecdf0a057d1ed854d59a,True,5.0,False,,True
