row_idx,pair_id,text1,text2,doer_label,confidence,evaluator_verdict,human_label,human_notes
556,573922c77e060d83529a579ef40faff9,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities Limited,False,5,incorrect,,
558,57c0e76945e036f51b61d294d8e81b62,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities Limited,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities,False,5,incorrect,,
1154,7604671c1efa744afe5a0027c356b329,REG - Gold Bullion Secs - Redemption Of Gold Bullion Securities,REG - Gold Bullion Secs - Redemption of Gold Bullion Securities Ltd,False,5,incorrect,,
1185,9c6af91ab2199fc055624d11285ba80f,REG - Gold Bullion Secs - Issue of Gold Bullion Securities,REG - Gold Bullion Secs - Issue of Gold Bullion Securities Ltd,False,5,incorrect,,
1506,085259f364a60b342f0d956cdcf18e8a,Gold Retreats as Investors Favor Dollar,Gold Retreats as Investors Take On More Risk,False,3,incorrect,,
2658,6de4034e9b92086d8a30caa6f9093851,PRECIOUS-Gold stuck near 4-week low on U.S. rate hike view,PRECIOUS-Gold holds near 3-1/2 week low as U.S. rate hike outlook drags,True,5,incorrect,,
2905,21e8b2b17d3708a79fa734e2f2eb262b,SPDR Gold Trust holdings fall to two-month low,"SPDR Gold Trust holdings fall to 1,288.616 T",True,4,incorrect,,
3034,cc5e5f7d91287757f23e0654c77f849c,"PRECIOUS-Gold higher as US consumer prices rise, dollar drops",PRECIOUS-Gold rises after unexpected drop in U.S. inflation,True,4,incorrect,,
3396,c0ef860e11be66b9344dc3721e5168ec,PRECIOUS-Gold set for 5th straight week of gains on safe-haven demand,PRECIOUS-Gold holds close to 7-week high on safe-haven demand,True,5,incorrect,,
3936,0cca3c08cf586e9ec50d2bc3d9cfb267,Gold Rallies to Two-Week High,Gold Rallies,True,5,incorrect,,
4278,025cca16e9501251b2a310258473978b,PRECIOUS-Gold falls from 1-week high; ETFs slip,"PRECIOUS-Gold eases on fall in ETF holdings, stimulus fears",False,5,incorrect,,
