id1,text1,id2,text2,text_similarity_score,entity_similarity_score,date_difference,pair_id,label,confidence,needs_human_review,evaluator_verdict,final_label
nifty_181,REG - Gresham Computing - Holding(s) in Company,nifty_485,REG - Gresham Computing - Holding(s) in Company,1.0000008,1.0,559,38b97dc226abbb59b3781123c5d062bc,True,5.0,False,,True
nifty_185,REG - CareTech Holdings - Preliminary Results,nifty_384,REG - CareTech Holdings - Preliminary Results,1.0000008,1.0,364,7180bee4a8dd2cc50f8ae772f5d3c739,True,5.0,False,,True
nifty_142,REG - BH Macro Limited - Monthly Shareholder Report,nifty_322,REG - BH Macro Limited - Monthly Shareholder Report,1.0000007,1.0,329,4642470ce1dd60508255e18afb974684,True,5.0,False,,True
nifty_322,REG - BH Macro Limited - Monthly Shareholder Report,nifty_355,REG - BH Macro Limited - Monthly Shareholder Report,1.0000007,1.0,61,4642470ce1dd60508255e18afb974684,True,5.0,False,,True
nifty_352,REG - Gresham Computing - Holding(s) in Company,nifty_485,REG - Gresham Computing - Holding(s) in Company,1.0000007,1.0,246,38b97dc226abbb59b3781123c5d062bc,True,5.0,False,,True
nifty_98,REG - ZincOx Resources PLCGoldman Sachs Group. - Holding(s) in Company,nifty_99,REG - ZincOx Resources PLCGoldman Sachs Group. - Holding(s) in Company,1.0000006,1.0,1,6446c958ca0b1181f50d2e124b85e031,True,5.0,False,,True
nifty_112,REG - Nepri Finance S.r.l. - Investor Report,nifty_362,REG - Nepri Finance S.r.l. - Investor Report,1.0000006,1.0,455,2a997c0cc8a737c8dfdca660d7fc8ab4,True,5.0,False,,True
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,nifty_202,REG - Lloyds TSB Bank PLC - Publication of Final Terms,1.0000006,1.0,90,c3470f7df78003aa61847eb7955f8490,True,5.0,False,,True
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,nifty_234,REG - Lloyds TSB Bank PLC - Publication of Final Terms,1.0000006,1.0,148,c3470f7df78003aa61847eb7955f8490,True,5.0,False,,True
nifty_154,REG - Lloyds TSB Bank PLC - Publication of Final Terms,nifty_237,REG - Lloyds TSB Bank PLC - Publication of Final Terms,1.0000006,1.0,154,c3470f7df78003aa61847eb7955f8490,True,5.0,False,,True
