id1,text1,entity1,id2,text2,entity2,text_similarity_score,entity_similarity_score,date_difference
nifty_1274,Transcript: Janet Yellen’s Senate Banking Committee Testimony,transcript|janet yellen’s senate banking committee testimony|janet|yellen|senate|banking|committee,nifty_1404,Transcript: Janet Yellen’s Senate Banking Committee Testimony,transcript|janet yellen’s senate banking committee testimony|janet|yellen|senate|banking|committee,1.0000005,1.0,239
nifty_450,Fed's easy policy appropriate right now:Yellen,fed's easy policy|fed|yellen,nifty_450,Fed's easy policy appropriate right now: Yellen,fed's easy policy|fed|yellen,1.0000004,1.0,0
nifty_165,Analysts' view: What economists are saying about Fed's QE2,analysts' view|what|economists|fed's qe2|fed,nifty_166,Analysts' view: What economists are saying about Fed's QE2,analysts' view|what|economists|fed's qe2|fed,1.0000002,1.0,1
nifty_202,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_227,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,1.0000002,1.0,48
nifty_1173,Text of Fed Statement,text|fed statement|fed|statement,nifty_1194,Text of Fed Statement,text|fed statement|fed|statement,1.0000002,1.0,42
nifty_1173,Text of Fed Statement,text|fed statement|fed|statement,nifty_1221,Text of Fed Statement,text|fed statement|fed|statement,1.0000002,1.0,91
nifty_1224,U.S. fed funds rate remains at 0.37 pct,u.s. fed funds rate|0.37 pct|u.s.,nifty_1227,U.S. fed funds rate remains at 0.37 pct,u.s. fed funds rate|0.37 pct|u.s.,1.0000002,1.0,7
nifty_103,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,nifty_353,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,1.0000001,1.0,455
nifty_202,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_333,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,1.0000001,1.0,239
nifty_202,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_376,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,1.0000001,1.0,315
nifty_202,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_412,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,1.0000001,1.0,386
nifty_227,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_412,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,1.0000001,1.0,338
nifty_272,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,nifty_353,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,1.0000001,1.0,147
nifty_353,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,nifty_376,FACTBOX-Fed staff forecasts from FOMC minutes,factbox-fed staff forecasts|fomc minutes|factbox|fed|fomc,1.0000001,1.0,41
nifty_1194,Text of Fed Statement,text|fed statement|fed|statement,nifty_1221,Text of Fed Statement,text|fed statement|fed|statement,1.0000001,1.0,49
nifty_1233,WSJ Survey: Most Economists Expect Next Fed Rate Increase in June,wsj survey|most economists|next fed rate increase|june|wsj|fed,nifty_1401,WSJ Survey: Most Economists Expect Next Fed Rate Increase in June,wsj survey|most economists|next fed rate increase|june|wsj|fed,1.0000001,1.0,308
nifty_1160,"Markets now calmed, Fed should soon raise U.S. rates -Lockhart",markets|fed|u.s. rates|-lockhart|u.s.,nifty_1160,"Markets now calmed, Fed should soon raise U.S. rates - Lockhart",markets|fed|u.s. rates|u.s.|lockhart,1.0000001,0.6666666666666666,0
nifty_141,Bernanke's emphasis on inflation may lure hawks,bernanke's emphasis|inflation|hawks|bernanke,nifty_142,Bernanke's emphasis on inflation may lure hawks,bernanke's emphasis|inflation|hawks|bernanke,1.0,1.0,1
nifty_165,Analyst view: What economists are saying about Fed's QE2,analyst view|what|economists|fed's qe2|fed,nifty_166,Analyst view: What economists are saying about Fed's QE2,analyst view|what|economists|fed's qe2|fed,1.0,1.0,1
nifty_521,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_525,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,7
nifty_521,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_558,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,65
nifty_521,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_708,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,352
nifty_525,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_544,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,35
nifty_525,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_558,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,58
nifty_544,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_558,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,23
nifty_544,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_708,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,1.0,1.0,310
nifty_1281,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1305,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,42
nifty_1281,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1337,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,99
nifty_1281,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1431,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,274
nifty_1305,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1337,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,57
nifty_1305,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1431,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,232
nifty_1337,What to Watch in the Fed Minutes,what|the fed minutes|fed,nifty_1431,What to Watch in the Fed Minutes,what|the fed minutes|fed,1.0,1.0,175
nifty_165,Analysis: Ebbing deflation risk poses Fed policy conundrum,analysis|deflation risk|fed policy conundrum|fed,nifty_166,Analysis: Ebbing deflation risk poses Fed policy conundrum,analysis|deflation risk|fed policy conundrum|fed,0.99999994,1.0,1
nifty_227,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_333,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,0.99999994,1.0,191
nifty_333,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_412,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,0.99999994,1.0,147
nifty_376,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,nifty_412,"Factbox: Fed officials' comments on the economy, policy",factbox|fed officials' comments|the economy|policy|fed,0.99999994,1.0,71
nifty_502,HIGHLIGHTS-Bernanke's Q&A; testimony to Senate Banking panel,highlights|bernanke's q&a|testimony|senate banking panel|bernanke|senate|banking,nifty_619,HIGHLIGHTS-Bernanke's Q&A; testimony to Senate Banking panel,highlights|bernanke's q&a|testimony|senate banking panel|bernanke|senate|banking,0.99999994,1.0,224
nifty_521,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_544,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,0.99999994,1.0,42
nifty_525,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_708,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,0.99999994,1.0,345
nifty_558,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,nifty_708,"Factbox: Fed officials' comments on U.S. economy, policy",factbox|fed officials' comments|u.s. economy|policy|fed|u.s.,0.99999994,1.0,287
nifty_1228,U.S. fed funds rate holds at 0.37 pct,u.s. fed funds rate|0.37 pct|u.s.,nifty_1232,U.S. fed funds rate holds at 0.37 pct,u.s. fed funds rate|0.37 pct|u.s.,0.99999994,1.0,7
nifty_1255,Transcript: WSJ Interview With San Francisco Fed’s John Williams,transcript|wsj interview|san francisco fed’s john williams|wsj|san|francisco|fed|john|williams,nifty_1345,Transcript: WSJ Interview With San Francisco Fed’s John Williams,transcript|wsj interview|san francisco fed’s john williams|wsj|san|francisco|fed|john|williams,0.99999994,1.0,162
